,points,1_1_p,1_2_p,1_3_p,2_1_p,2_2_p,2_3_p,1_1_r_C,1_1_r_L,1_1_r_O,1_1_r_S,1_1_r_W,1_2_r_C,1_2_r_L,1_2_r_O,1_2_r_S,1_2_r_W,1_3_r_2L,1_3_r_2S,1_3_r_2W,1_3_r_3G,1_3_r_C,1_3_r_D,1_3_r_L,1_3_r_O,1_3_r_S,1_3_r_W,2_1_r_C,2_1_r_L,2_1_r_O,2_1_r_S,2_1_r_W,2_2_r_2O,2_2_r_C,2_2_r_L,2_2_r_O,2_2_r_S,2_2_r_W,2_3_r_2C,2_3_r_2L,2_3_r_2O,2_3_r_2S,2_3_r_2W,2_3_r_3G,2_3_r_B,2_3_r_C,2_3_r_D,2_3_r_L,2_3_r_O,2_3_r_S,2_3_r_W
32,6,0.1389,0.0833,0.0556,0.1111,0.0833,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33,9,0.0833,0.1389,0.0833,0.1389,0.0833,0.0556,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,9,0.1389,0.1111,0.0556,0.1111,0.1111,0.0833,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35,10,0.1111,0.1389,0.0556,0.1111,0.0833,0.0278,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,9,0.1111,0.1389,0.0833,0.0833,0.1111,0.0556,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37,9,0.1389,0.1111,0.0278,0.1389,0.1111,0.0278,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
38,10,0.1389,0.0833,0.0556,0.1111,0.1389,0.0556,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39,9,0.1111,0.1111,0.0833,0.1389,0.0833,0.0556,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
40,6,0.1111,0.1389,0.0833,0.0833,0.1111,0.0556,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,5,0.1389,0.0556,0.0556,0.1389,0.0833,0.0556,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
42,10,0.1389,0.1111,0.0556,0.1111,0.1111,0.0833,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
43,5,0.0833,0.1389,0.0833,0.1111,0.0833,0.0278,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44,5,0.1389,0.0556,0.0556,0.0556,0.0833,0.0556,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45,6,0.1111,0.1111,0.0833,0.1111,0.0833,0.0278,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
46,6,0.1111,0.1389,0.0833,0.1389,0.1111,0.0556,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
47,10,0.0833,0.1389,0.0833,0.1111,0.1389,0.0556,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
48,6,0.1111,0.1389,0.0833,0.0556,0.0833,0.0556,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
