gameNum,player,points,win,1_1_n,1_1_r,1_1_p,1_1_rp,1_2_n,1_2_r,1_2_p,1_2_rp,1_3_n,1_3_r,1_3_p,1_3_rp,2_1_n,2_1_r,2_1_p,2_1_rp,2_2_n,2_2_r,2_2_p,2_2_rp,2_3_n,2_3_r,2_3_p,2_3_rp,L,C,S,W,O,resource_pct,3G,2L,2C,2S,2W,2O,has_port,D,0.0278,0.0556,0.0833,0.1111,0.1389,probability_score,probability_score_2
15,1,9,0,8,W,0.1389,W0.1389,4,O,0.0833,O0.0833,3,L,0.0556,L0.0556,4,C,0.0833,C0.0833,9,W,0.1111,W0.1111,11,L,0.0556,L0.0556,2,1,0,2,1,0.8,0,0,0,0,0,0,0,0,0,2,2,1,1,19,93
15,2,8,0,5,L,0.1111,L0.1111,8,W,0.1389,W0.1389,10,S,0.0833,S0.0833,8,O,0.1389,O0.1389,4,C,0.0833,C0.0833,3,S,0.0556,S0.0556,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,2,16,156
15,3,6,0,5,O,0.1111,O0.1111,9,S,0.1111,S0.1111,10,W,0.0833,W0.0833,6,C,0.1389,C0.1389,2,W,0.0278,W0.0278,0,2O,0,2O0,0,1,1,2,1,0.8,0,0,0,0,0,1,1,0,1,0,1,2,1,16,99
15,4,10,1,6,C,0.1389,C0.1389,9,W,0.1111,W0.1111,3,S,0.0556,S0.0556,5,O,0.1111,O0.1111,6,S,0.1389,S0.1389,11,L,0.0556,L0.0556,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,2,0,2,2,16,180
16,1,7,0,5,S,0.1111,S0.1111,6,L,0.1389,L0.1389,9,W,0.1111,W0.1111,8,W,0.1389,W0.1389,10,O,0.0833,O0.0833,0,D,0,D0,1,0,1,2,1,0.8,0,0,0,0,0,0,0,1,0,0,1,2,2,15,173
16,2,10,1,5,S,0.1111,S0.1111,8,O,0.1389,O0.1389,4,L,0.0833,L0.0833,6,L,0.1389,L0.1389,3,W,0.0556,W0.0556,11,C,0.0556,C0.0556,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,1,1,2,15,141
16,3,7,0,5,C,0.1111,C0.1111,9,O,0.1111,O0.1111,10,O,0.0833,O0.0833,6,L,0.1389,L0.1389,11,S,0.0556,S0.0556,12,S,0.0278,S0.0278,1,1,2,0,2,0.8,0,0,0,0,0,0,0,0,1,1,1,2,1,19,103
16,4,7,0,8,W,0.1389,W0.1389,4,S,0.0833,S0.0833,3,W,0.0556,W0.0556,4,L,0.0833,L0.0833,6,C,0.1389,C0.1389,9,O,0.1111,O0.1111,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,2,1,2,16,156
17,1,6,0,4,S,0.0833,S0.0833,6,O,0.1389,O0.1389,11,O,0.0556,O0.0556,6,W,0.1389,W0.1389,2,W,0.0278,W0.0278,0,2W,0,2W0,0,0,1,2,2,0.6,0,0,0,0,1,0,1,0,1,1,1,0,2,9,114
17,2,7,0,5,W,0.1111,W0.1111,6,O,0.1389,O0.1389,11,L,0.0556,L0.0556,5,S,0.1111,S0.1111,10,O,0.0833,O0.0833,2,W,0.0278,W0.0278,1,0,1,2,2,0.8,0,0,0,0,0,0,0,0,1,1,1,2,1,19,103
17,3,5,0,4,S,0.0833,S0.0833,8,L,0.1389,L0.1389,10,W,0.0833,W0.0833,6,W,0.1389,W0.1389,9,C,0.1111,C0.1111,3,C,0.0556,C0.0556,1,2,1,2,0,0.8,0,0,0,0,0,0,0,0,0,1,2,1,2,16,156
17,4,10,1,5,W,0.1111,W0.1111,9,S,0.1111,S0.1111,10,W,0.0833,W0.0833,9,C,0.1111,C0.1111,10,O,0.0833,O0.0833,11,L,0.0556,L0.0556,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,2,3,0,26,184
18,1,6,0,4,W,0.0833,W0.0833,8,S,0.1389,S0.1389,10,O,0.0833,O0.0833,9,S,0.1111,S0.1111,10,C,0.0833,C0.0833,2,O,0.0278,O0.0278,0,1,2,1,2,0.8,0,0,0,0,0,0,0,0,1,0,3,1,1,19,123
18,2,9,0,5,O,0.1111,O0.1111,8,C,0.1389,C0.1389,10,C,0.0833,C0.0833,6,S,0.1389,S0.1389,3,W,0.0556,W0.0556,11,L,0.0556,L0.0556,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,2,1,1,2,15,141
18,3,6,0,8,C,0.1389,C0.1389,4,W,0.0833,W0.0833,0,2S,0,2S0,5,L,0.1111,L0.1111,6,S,0.1389,S0.1389,12,S,0.0278,S0.0278,1,1,2,1,0,0.8,0,0,0,1,0,0,1,0,1,0,1,1,2,11,126
18,4,10,1,6,L,0.1389,L0.1389,9,S,0.1111,S0.1111,3,W,0.0556,W0.0556,5,L,0.1111,L0.1111,9,C,0.1111,C0.1111,10,O,0.0833,O0.0833,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,3,1,22,182
